IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP58;IP_PROP57;IP_PROP59;IC_GROUP0;IC_GROUP1;IC_GROUP2
340;Тестовый документ;340;N;;;;О назначении члена Избирательной комиссии Кировской области с правом решающего голоса;text;;;text;;500;;16.06.2016;58/188;/upload/iblock/253/Постановление 58-188.doc;;;
349;«О внесении изменения в статью 174 Жилищного кодекса Российской Федерации»;349;N;;;;О назначении члена Избирательной комиссии Кировской области с правом решающего голоса;text;;;text;;500;;24.03.2016;55/76;/upload/iblock/14f/Постанвление Законодательного Собрания Кировской области 55-76.doc;;;
426;О назначении досрочных выборов Главы – Председателя Правительства  Республики Тыва;426;Y;16.06.2016 10:50:00;;;;text;;;text;;500;;16.06.2016;961 ПВХ-II;/upload/iblock/bd7/Постановление N 961 ПВХ-II.jpg;;;
1190;О назначении на должность мирового судьи судебного участка Овюрского кожууна Республики Тыва Куулар Орланы Олеговны;1190;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1211-ПВХ;/upload/iblock/034/1211-ПВХ.pdf;;;
1191;О проекте закона Республики Тыва «О внесении изменения в статью 12 Закона Республики Тыва «О музеях в Республике Тыва»;1191;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1212-ПВХ;/upload/iblock/155/1212-ПВХ.pdf;;;
1192;О Законе Республики Тыва «О внесении изменения в статью 12 Закона Республики Тыва «О музеях в Республике Тыва»;1192;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1213-ПВХ;/upload/iblock/2f6/1213-ПВХ.pdf;;;
1193;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О физической культуре и спорте в Республике Тыва»;1193;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1214-ПВХ;/upload/iblock/32a/1214-ПВХ.pdf;;;
1194;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О физической культуре и спорте в Республике Тыва»;1194;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1215-ПВХ;/upload/iblock/3a0/1215-ПВХ.pdf;;;
1195;О проекте закона Республики Тыва «О признании утратившим силу Закона Республики Тыва «Об использовании лесов для осуществления видов деятельности в сфере охотничьего хозяйства на территории Республики Тыва»;1195;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1216-ПВХ;/upload/iblock/2f1/1216-ПВХ.pdf;;;
1196;О Законе Республики Тыва «О признании утратившим силу Закона Республики Тыва «Об использовании лесов для осуществления видов деятельности в сфере охотничьего хозяйства на территории Республики Тыва»;1196;Y;13.02.2017 20:00:00;;;;text;;;text;;500;;14.02.2017;1217-ПВХ;/upload/iblock/b42/1217-ПВХ.pdf;;;
